No.,Title,Author,Genre,Language,archive_link,cover_url,download_url
1,سلطان زین العابدین بڈ شا,Unknown,Biography/Memoir,Urdu,,,
2,1 year after article 370 Amnesty International,Amnesty International,Human Rights & Conflict,English,https://archive.org/details/burzahom-1-year-after-article-370-amnesty-international,https://archive.org/services/img/burzahom-1-year-after-article-370-amnesty-international,https://archive.org/download/burzahom-1-year-after-article-370-amnesty-international/burzahom-1-year-after-article-370-amnesty-international.pdf
3,11010642,Unknown,Politics & Law,English,https://archive.org/details/burzahom-11010642,https://archive.org/services/img/burzahom-11010642,https://archive.org/download/burzahom-11010642/burzahom-11010642.pdf
4,120 Days - Report by APDP 2019,APDP,Human Rights & Conflict,English,https://archive.org/details/burzahom-120-days--report-by-apdp-2019,https://archive.org/services/img/burzahom-120-days--report-by-apdp-2019,https://archive.org/download/burzahom-120-days--report-by-apdp-2019/burzahom-120-days--report-by-apdp-2019.pdf
5,1867 Vocabulary of English Balti and Kashmiri,H. H. Godwin-Austen,Language & Linguistics,English,https://archive.org/details/burzahom-1867-vocabulary-of-english-balti-and-kashmiri,https://archive.org/services/img/burzahom-1867-vocabulary-of-english-balti-and-kashmiri,https://archive.org/download/burzahom-1867-vocabulary-of-english-balti-and-kashmiri/burzahom-1867-vocabulary-of-english-balti-and-kashmiri.pdf
6,1870 - Kashmir Oppressed and Cashmere Misgovernment,Unknown,Politics & Law,English,https://archive.org/details/burzahom-1870--kashmir-oppressed-and-cashmere-misgovernment,https://archive.org/services/img/burzahom-1870--kashmir-oppressed-and-cashmere-misgovernment,https://archive.org/download/burzahom-1870--kashmir-oppressed-and-cashmere-misgovernment/burzahom-1870--kashmir-oppressed-and-cashmere-misgovernment.pdf
7,1887 Journals Kept in Hyderabad Kashmir Sikkim and Nepal Vol. 2,Unknown,Travelogue,English,https://archive.org/details/burzahom-1887-journals-kept-in-hyderabad-kashmir-sikkim-and-nepal-vol-2,https://archive.org/services/img/burzahom-1887-journals-kept-in-hyderabad-kashmir-sikkim-and-nepal-vol-2,https://archive.org/download/burzahom-1887-journals-kept-in-hyderabad-kashmir-sikkim-and-nepal-vol-2/burzahom-1887-journals-kept-in-hyderabad-kashmir-sikkim-and-nepal-vol-2.pdf
8,1890 Gazetteer of Kashmir and Ladak,British Government (Colonial Office),Reference Works,English,https://archive.org/details/burzahom-1890-gazetteer-of-kashmir-and-ladak,https://archive.org/services/img/burzahom-1890-gazetteer-of-kashmir-and-ladak,https://archive.org/download/burzahom-1890-gazetteer-of-kashmir-and-ladak/burzahom-1890-gazetteer-of-kashmir-and-ladak.pdf
9,1890 Condemned Unheard,Walter Lawrence,Politics & Law,English,https://archive.org/details/burzahom-1890-condemned-unheard,https://archive.org/services/img/burzahom-1890-condemned-unheard,https://archive.org/download/burzahom-1890-condemned-unheard/burzahom-1890-condemned-unheard.pdf
10,1911 - Kashmir Vol I,Walter Lawrence,History,English,https://archive.org/details/burzahom-1911--kashmir-vol-i,https://archive.org/services/img/burzahom-1911--kashmir-vol-i,https://archive.org/download/burzahom-1911--kashmir-vol-i/burzahom-1911--kashmir-vol-i.pdf
