title,author,language,genre,archive_link,identifier,cover_url,download_url
A Vocabulary of the Kashmiri Language,W.L. Elmslie,English,Language & Linguistics,https://archive.org/details/burzahom-a-vocabulary-of-the-kashmiri-language,burzahom-a-vocabulary-of-the-kashmiri-language,https://archive.org/services/img/burzahom-a-vocabulary-of-the-kashmiri-language,https://archive.org/download/burzahom-a-vocabulary-of-the-kashmiri-language/burzahom-a-vocabulary-of-the-kashmiri-language.pdf
Call Me Ishmael Tonight: A Book of Ghazals,Agha Shahid Ali,English,Poetry & Literature,https://archive.org/details/burzahom-call-me-ishmael-tonight-a-book-of-ghazals,burzahom-call-me-ishmael-tonight-a-book-of-ghazals,https://archive.org/services/img/burzahom-call-me-ishmael-tonight-a-book-of-ghazals,https://archive.org/download/burzahom-call-me-ishmael-tonight-a-book-of-ghazals/burzahom-call-me-ishmael-tonight-a-book-of-ghazals.pdf
Rooms Are Never Finished: Poems,Agha Shahid Ali,English,Poetry & Literature,https://archive.org/details/burzahom-rooms-are-never-finished-poems,burzahom-rooms-are-never-finished-poems,https://archive.org/services/img/burzahom-rooms-are-never-finished-poems,https://archive.org/download/burzahom-rooms-are-never-finished-poems/burzahom-rooms-are-never-finished-poems.pdf
Article 370,M.K. Teng,English,Politics & Law,https://archive.org/details/burzahom-article-370,burzahom-article-370,https://archive.org/services/img/burzahom-article-370,https://archive.org/download/burzahom-article-370/burzahom-article-370.pdf
Islamic Nations and Kashmir Problem,Attar Chand,English,Politics & Law,https://archive.org/details/burzahom-islamic-nations-and-kashmir-problem,burzahom-islamic-nations-and-kashmir-problem,https://archive.org/services/img/burzahom-islamic-nations-and-kashmir-problem,https://archive.org/download/burzahom-islamic-nations-and-kashmir-problem/burzahom-islamic-nations-and-kashmir-problem.pdf
A Dictionary of Kashmiri Language,George Grierson,English,Language & Linguistics,https://archive.org/details/burzahom-a-dictionary-of-kashmiri-language,burzahom-a-dictionary-of-kashmiri-language,https://archive.org/services/img/burzahom-a-dictionary-of-kashmiri-language,https://archive.org/download/burzahom-a-dictionary-of-kashmiri-language/burzahom-a-dictionary-of-kashmiri-language.pdf
Beyond the Pir Panjal,Ernest Neve,English,Travelogue,https://archive.org/details/burzahom-beyond-the-pir-panjal,burzahom-beyond-the-pir-panjal,https://archive.org/services/img/burzahom-beyond-the-pir-panjal,https://archive.org/download/burzahom-beyond-the-pir-panjal/burzahom-beyond-the-pir-panjal.pdf
Buddhism in Kashmir and Ladakh,J.N. Ganhar,English,Religion & Philosophy,https://archive.org/details/burzahom-buddhism-in-kashmir-and-ladakh,burzahom-buddhism-in-kashmir-and-ladakh,https://archive.org/services/img/burzahom-buddhism-in-kashmir-and-ladakh,https://archive.org/download/burzahom-buddhism-in-kashmir-and-ladakh/burzahom-buddhism-in-kashmir-and-ladakh.pdf
Daughters of the Vitasta,Prem Nath Bazaz,English,History,https://archive.org/details/burzahom-daughters-of-the-vitasta,burzahom-daughters-of-the-vitasta,https://archive.org/services/img/burzahom-daughters-of-the-vitasta,https://archive.org/download/burzahom-daughters-of-the-vitasta/burzahom-daughters-of-the-vitasta.pdf
Demystifying Kashmir,Navnita Chadha Behera,English,Politics & Law,https://archive.org/details/burzahom-demystifying-kashmir,burzahom-demystifying-kashmir,https://archive.org/services/img/burzahom-demystifying-kashmir,https://archive.org/download/burzahom-demystifying-kashmir/burzahom-demystifying-kashmir.pdf
